2026-2027学年第1学期工作安排表,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
新课程序号,课程名称,周学时,负责人,授课教师,教师工号,教师职称,课程性质,授课语言,校区,听课专业,选课人数,起始周,结束周,排课信息
职业技术教育学院,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
IVE000202,教育与美好生活,2,,"李俊,鄢彩玲","12099,21106",",",人文经典与审美素养,中文,嘉定校区,,0,1,16,李俊(12099) 星期三7-8节 [1 4-12] 安楼A302 鄢彩玲(21106) 星期三7-8节 [2-3] 安楼A302
IVE000401,发展心理学,2,,李同吉,06115,,科学探索与生命关怀,中文,四平路校区,,0,1,12,李同吉(06115) 星期五7-8节 [1-12] 南308
IVE000802,学习心理分析,2,,李鹏,21055,,科学探索与生命关怀,中文,嘉定校区,,0,1,16,李鹏(21055) 星期三7-8节 [1-12] 安楼A405
IVE000901,德国文化与教育,2,,鄢彩玲,21106,,社会发展与国际视野,中文,四平路校区,,0,1,12,鄢彩玲(21106) 星期五7-8节 [1-12] 南315
IVE000902,德国文化与教育,2,,鄢彩玲,21106,,社会发展与国际视野,中文,嘉定校区,,0,1,16,鄢彩玲(21106) 星期三9-10节 [1-12] 安楼A302
图书馆,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
LIB130101,文献检索,2,,王爽快,24054,,专业基础课,中文,沪西校区,2025(护理学 14044),0,1,8,王爽快(24054) 星期二1-4节 [1-8] 学校机房423(沪西)
LIB000101,科技文献检索与利用,2,,邬宁芬,03061,,通识选修课,中文,四平路校区,,0,1,12,邬宁芬(03061) 星期一7-8节 [1-12] 南210
LIB000102,科技文献检索与利用,2,,刘玉红,07054,,通识选修课,中文,嘉定校区,,0,1,16,刘玉红(07054) 星期一7-8节 [1-12] 安楼A105
LIB000103,科技文献检索与利用,2,,邬宁芬,03061,,通识选修课,中文,四平路校区,,0,1,12,邬宁芬(03061) 星期三9-10节 [1-12] 南211
LIB000104,科技文献检索与利用,2,,"费盛华,宁子晨","11002,24053",",",通识选修课,中文,四平路校区,,0,1,12,费盛华(11002) 星期四7-8节 [1-6] 南214 宁子晨(24053) 星期四7-8节 [7-12] 南214
LIB000105,科技文献检索与利用,2,,刘玉红,07054,,通识选修课,中文,嘉定校区,,0,1,16,刘玉红(07054) 星期四9-10节 [1-12] 安楼A105
国际文化交流学院,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ISC110101,中国概论（英）,2,,李挺,13010,,通识必修课,中文,四平路校区,2024(工商管理(国际班) 01025),0,1,16,李挺(13010) 星期三5-6节 [1-16] 南215
ISC310101,基础中文,6,,王琼,11116,,通识必修课,中文,四平路校区,2024(工商管理(国际班) 01025),0,1,16,王琼(11116) 星期一5-8节 [1-16] 南222 王琼(11116) 星期四5-6节 [1-16] 南222
ISC410101,中级中文,6,,"李海燕,李挺","11113,13010",",",通识必修课,中文,四平路校区,2023(工商管理(国际班) 01025),0,1,16,李海燕(11113) 星期一5-8节 [1-16] 南校区二教123教室 李挺(13010) 星期三7-8节 [1-16] 南校区二教123教室
ISC350801,汉语教学概论,2,,凌璧君,06100,,专业选修课,中文,四平路校区,2024(汉语言(汉语国际教育方向) 13001),0,1,16,凌璧君(06100) 星期二3-4节 [1-16] 南208
ISC231601,中级泛读(1),2,,凌璧君,06100,,专业基础课,中文,四平路校区,"2025(汉语言(汉语国际教育方向) 13001),2025(汉语言(经贸方向) 13014)",0,1,16,凌璧君(06100) 星期三5-6节 [1-16] 南407
ISC231602,中级泛读(1),2,,侯文玉,03173,,专业基础课,中文,四平路校区,"2025(汉语言(汉语国际教育方向) 13001),2025(汉语言(经贸方向) 13014)",0,1,16,侯文玉(03173) 星期三5-6节 [1-16] 南321
ISC231201,中级听和说(1),2,,凌璧君,06100,,专业基础课,中文,四平路校区,"2025(汉语言(汉语国际教育方向) 13001),2025(汉语言(经贸方向) 13014)",0,1,16,凌璧君(06100) 星期二1-2节 [1-16] 南416
ISC231202,中级听和说(1),2,,潘海峰,11115,,专业基础课,中文,四平路校区,"2025(汉语言(汉语国际教育方向) 13001),2025(汉语言(经贸方向) 13014)",0,1,16,潘海峰(11115) 星期二1-2节 [1-16] 南317
ISC330501,高级汉语(1),6,,潘海峰,11115,,专业基础课,中文,四平路校区,"2024(汉语言(汉语国际教育方向) 13001),2024(汉语言(经贸方向) 13014)",0,1,16,潘海峰(11115) 星期一5-6节 [1-16] 南322 潘海峰(11115) 星期四1-4节 [1-16] 南322
ISC430701,高级汉语(3),6,,陆珏璇,24198,,专业基础课,中文,四平路校区,"2023(汉语言(汉语国际教育方向) 13001),2023(汉语言(经贸方向) 13014)",0,1,16,陆珏璇(24198) 星期一3-4节 [1-16] 南421 陆珏璇(24198) 星期二1-2节 [1-16] 南421 陆珏璇(24198) 星期三5-6节 [1-16] 南421
ISC332201,高级写作(1),2,,许歆媛,16010,,专业基础课,中文,四平路校区,2024(汉语言(汉语国际教育方向) 13001),0,1,16,许歆媛(16010) 星期一3-4节 [1-16] 南310
ISC231801,中级写作(1),2,,李挺,13010,,专业基础课,中文,四平路校区,"2025(汉语言(汉语国际教育方向) 13001),2025(汉语言(经贸方向) 13014)",0,1,16,李挺(13010) 星期一5-6节 [1-16] 南317
